"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",은평구,진관동,21413,54991,25646,29345,54782,25569,29213,209,77,132
"합계",은평구,불광2동,14111,27321,13157,14164,27083,13066,14017,238,91,147
"합계",은평구,응암3동,12546,24072,11578,12494,23706,11426,12280,366,152,214
"합계",은평구,역촌동,20775,44827,20995,23832,44420,20836,23584,407,159,248
"합계",서대문구,소계,147183,322470,151126,171344,308338,146684,161654,14132,4442,9690
"합계",서대문구,천연동,7635,16917,8002,8915,16713,7892,8821,204,110,94
"합계",서대문구,홍제1동,11040,25103,11715,13388,24850,11613,13237,253,102,151
"합계",서대문구,홍제3동,8000,17907,8580,9327,17739,8508,9231,168,72,96
"합계",서대문구,홍제2동,5769,13357,6235,7122,13254,6191,7063,103,44,59
"합계",서대문구,홍은1동,9790,22655,10914,11741,22427,10825,11602,228,89,139
"합계",서대문구,홍은2동,13235,29527,14096,15431,28738,13810,14928,789,286,503
"합계",서대문구,남가좌1동,6160,16945,8114,8831,16711,8016,8695,234,98,136
"합계",서대문구,남가좌2동,13349,30530,14543,15987,29252,14130,15122,1278,413,865
"합계",서대문구,북가좌1동,6855,17846,8532,9314,17749,8496,9253,97,36,61
"합계",서대문구,북가좌2동,14560,31137,15106,16031,30816,14987,15829,321,119,202
"합계",서대문구,충현동,10087,20296,9740,10556,19816,9523,10293,480,217,263
"합계",서대문구,북아현동,7077,15847,7568,8279,15544,7443,8101,303,125,178
"합계",서대문구,신촌동,14908,26984,10338,16646,20409,8867,11542,6575,1471,5104
"합계",서대문구,연희동,18718,37419,17643,19776,34320,16383,17937,3099,1260,1839
"합계",마포구,소계,180976,376615,175096,201519,365287,171058,194229,11328,4038,7290
"합계",마포구,용강동,9268,21706,10239,11467,21278,10040,11238,428,199,229
"합계",마포구,대흥동,8801,16235,7597,8638,14480,7048,7432,1755,549,1206
"합계",마포구,염리동,7786,17673,8267,9406,16760,8011,8749,913,256,657
"합계",마포구,신수동,9991,22579,10976,11603,22195,10830,11365,384,146,238
"합계",마포구,서교동,15366,26703,11749,14954,24391,11071,13320,2312,678,1634
"합계",마포구,합정동,9247,16922,7763,9159,16569,7623,8946,353,140,213
"합계",마포구,망원1동,10200,19651,9160,10491,19334,9030,10304,317,130,187
